image_path,num_gt_tokens,num_pred_tokens,token_edits,token_error_rate,cer,error_tokens,error_entropies,error_probs
data/oldNepaliDataset_new/images/DNA_0013_0522/eSc_line_761e4fd1.png,82,75,7,0.08536585365853659,0.1744185984134674,0|द|ध|प|स|ी|1,1.7665839195251465|0.5746270418167114|0.7377174496650696|0.032267872244119644|0.0006564721697941422|0.43441829085350037|0.9251585006713867,0.38942936062812805|0.86653733253479|0.5371323227882385|0.9959438443183899|0.9999426603317261|0.8444586992263794|0.6159900426864624
data/oldNepaliDataset_new/images/DNA_2_00000115_result/eSc_line_70f26fa5.png,54,52,3,0.05555555555555555,0.0535714291036129,ा,0.6885846853256226,0.6808996796607971
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_001/eSc_line_83b6c6f1.png,78,77,1,0.01282051282051282,0.01149425283074379,,,
data/oldNepaliDataset_new/images/DNA_0013_0439/eSc_line_7f2ce926.png,44,43,2,0.045454545454545456,0.03999999910593033,ि,0.3853664696216583,0.8709506988525391
data/oldNepaliDataset_new/images/DNA_0003_0551/eSc_line_e3b33def.png,43,43,5,0.11627906976744186,0.1489361673593521,रल|्|र|्|रन,0.009369432926177979|0.2961655259132385|0.13892722129821777|5.231029717833735e-05|0.8920099139213562,0.9991326928138733|0.913089394569397|0.9702475666999817|0.9999966621398926|0.6162691116333008
data/oldNepaliDataset_new/images/DNA_0013_0160/eSc_line_d193b6ab.png,110,105,11,0.1,0.12068965286016464,े|स|च|म|ष|ठ|ग,0.999180793762207|0.6876851916313171|0.8633192181587219|0.9157228469848633|1.083706259727478|1.2354228496551514|0.5074553489685059,0.7454779148101807|0.7544854283332825|0.7755486965179443|0.6777811646461487|0.6558611989021301|0.5430915951728821|0.824140191078186
data/oldNepaliDataset_new/images/20/eSc_line_5568b30b.png,69,69,2,0.028985507246376812,0.027397260069847107,ा|।,5.497110396390781e-05|0.0015480979345738888,0.9999967813491821|0.9998703002929688
data/oldNepaliDataset_new/images/DNA_2_00000327_result/eSc_line_00972282.png,72,73,15,0.20833333333333334,0.1358024626970291,म|घ|्|त|ो|ष|ा|स|ं|ख|ा,0.6949529647827148|0.0020102052949368954|0.9453504085540771|0.7554900646209717|0.0006018674466758966|0.0007256175158545375|1.6996960766846314e-05|0.00014594211825169623|0.001112266443669796|0.9441072344779968|0.0015060144942253828,0.5130603313446045|0.9998165965080261|0.6417485475540161|0.7799098491668701|0.999951958656311|0.9999425411224365|0.9999990463256836|0.9999904632568359|0.9999058246612549|0.749836802482605|0.9998867511749268
data/oldNepaliDataset_new/images/DNA_1_00000523/eSc_line_2bb9f6bf.png,25,25,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_021/eSc_line_71c6ab0d.png,80,80,1,0.0125,0.012195121496915817,ि,6.16751094639767e-06,0.9999998807907104
data/oldNepaliDataset_new/images/DNA_2_00000293_result/eSc_line_1da5f010.png,52,54,4,0.07692307692307693,0.06896551698446274,्|र|व|द,0.003708659205585718|0.00162403448484838|0.021203473210334778|0.4606962502002716,0.9996058344841003|0.9998629093170166|0.9972858428955078|0.8296756148338318
data/oldNepaliDataset_new/images/DNA_0014_0135/eSc_line_8fdab100.png,50,50,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_2_00000327_result/eSc_line_ac08e6d2.png,74,70,13,0.17567567567567569,0.19230769574642181,�|�|व|न|म|भन|्|छ|्|ा|थ|ै,0.8988795876502991|0.7337498068809509|0.45991572737693787|0.185386061668396|0.2698492705821991|0.006096941884607077|0.06482637673616409|0.10982461273670197|0.020724477246403694|1.8303754329681396|0.05989348143339157|1.525072693824768,0.7215744853019714|0.689566969871521|0.8793971538543701|0.967453122138977|0.9407376050949097|0.999322772026062|0.9896182417869568|0.9842118620872498|0.9973945617675781|0.3978288471698761|0.9899346232414246|0.5440106987953186
data/oldNepaliDataset_new/images/DNA_0013_0522/eSc_line_afdd918d.png,80,84,11,0.1375,0.08695652335882187,न|स|मक|ो|ह|े|रत|रद|श|ु|भ,0.06061360612511635|0.011505807749927044|0.00017534370999783278|0.00040994613664224744|0.021211516112089157|7.291607471415773e-05|0.012732584029436111|0.9891537427902222|0.04497963935136795|0.11020682752132416|2.0284876823425293,0.9901993870735168|0.9989726543426514|0.9999881982803345|0.9999681711196899|0.9968962669372559|0.9999954700469971|0.998653769493103|0.5395382046699524|0.9939749836921692|0.9770897030830383|0.4273797571659088
data/oldNepaliDataset_new/images/12/eSc_line_523ebf30.png,79,81,3,0.0379746835443038,0.03448275849223137,ज|्|म,0.0005743884248659015|0.6953120827674866|0.00011831642768811435,0.9999581575393677|0.5257136225700378|0.9999922513961792
data/oldNepaliDataset_new/images/DNA_1_00000410/eSc_line_c26bc6a5.png,31,32,2,0.06451612903225806,0.05882352963089943,स|।,0.5573894381523132|6.948642840143293e-05,0.7811900973320007|0.9999958276748657
data/oldNepaliDataset_new/images/12/eSc_line_f82cb691.png,91,89,7,0.07692307692307693,0.0714285746216774,मन|ह|ा|र|वन|ु,0.08739741891622543|0.7289206981658936|0.0009595677256584167|0.7772237658500671|0.0050582061521708965|0.00011254454148001969,0.9874520897865295|0.7896325588226318|0.999913215637207|0.7930314540863037|0.9994363188743591|0.9999923706054688
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_010/eSc_line_4738ac1b.png,64,63,2,0.03125,0.012987012974917889,र|सम,0.19466254115104675|0.0003865624312311411,0.9524306058883667|0.9999734163284302
data/oldNepaliDataset_new/images/DNA_1_00000410/eSc_line_af1e2515.png,37,39,8,0.21621621621621623,0.1463414579629898,क|ै|।|र|ा|क,0.007616100367158651|0.19771714508533478|2.9694461773033254e-05|0.0036857433151453733|3.97050280298572e-05|0.01820165477693081,0.9990652203559875|0.95082026720047|0.9999983310699463|0.9996126294136047|0.9999977350234985|0.997398853302002
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_006/eSc_line_a058c687.png,66,66,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_007/eSc_line_8eb16da8.png,74,74,2,0.02702702702702703,0.025316456332802773,द|ै,0.34571605920791626|0.6890385150909424,0.8909536004066467|0.5498510003089905
data/oldNepaliDataset_new/images/DNA_0013_0427/eSc_line_719e77fe.png,34,33,1,0.029411764705882353,0.025641025975346565,,,
data/oldNepaliDataset_new/images/18/eSc_line_814a313d.png,86,85,3,0.03488372093023256,0.043478261679410934,ं|क|-,1.2082022428512573|0.05624008551239967|0.02001677267253399,0.5067461729049683|0.9906542897224426|0.9975805282592773
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_003/eSc_line_fdf0e1f2.png,70,70,1,0.014285714285714285,0.012820512987673283,ा,7.175113569246605e-05,0.9999948740005493
data/oldNepaliDataset_new/images/14/eSc_line_727b43d5.png,70,72,3,0.04285714285714286,0.012987012974917889,ह|ु|न,0.9109835624694824|0.0293946024030447|1.1787474250013474e-05,0.6369082927703857|0.9959067106246948|0.9999994039535522
data/oldNepaliDataset_new/images/DNA_0012_0519/eSc_line_6afac64e.png,32,32,1,0.03125,0.02777777798473835,न,0.00024330709129571915,0.9999809265136719
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_001/eSc_line_8ee81107.png,4,4,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_1_00000285/eSc_line_c26134b7.png,28,27,4,0.14285714285714285,0.12903225421905518,्|ु,0.18446412682533264|0.146558940410614,0.9610161185264587|0.9699119925498962
data/oldNepaliDataset_new/images/DNA_0013_0433/eSc_line_f01aefc6.png,56,54,3,0.05357142857142857,0.050847455859184265,व,0.01329350471496582,0.9983187913894653
data/oldNepaliDataset_new/images/DNA_0013_0382/eSc_line_8a3eb5b3.png,9,10,1,0.1111111111111111,0.10000000149011612,्,0.0028157788328826427,0.9997352957725525
data/oldNepaliDataset_new/images/DNA_1_00000054/eSc_line_11640de7.png,59,57,3,0.05084745762711865,0.04918032884597778,य,1.5583780623273924e-05,0.9999991655349731
data/oldNepaliDataset_new/images/DNA_0013_0160/eSc_line_5d818ce8.png,139,123,38,0.2733812949640288,0.3400000035762787,म|ो|ग|र|न|्|त|ि|त|्|य|ा|क|ि|य|ा|म|न|ु|क|ो|ल|ू|रह|द|े|व,0.6696160435676575|0.005697638727724552|0.022531023249030113|1.0543750524520874|1.4161560535430908|0.45604217052459717|1.2764869928359985|2.2873148918151855|2.8453245162963867|0.05444435775279999|2.0639491081237793|2.585888385772705|1.2954704761505127|0.6430796384811401|0.011456118896603584|0.0008159492863342166|1.4785146713256836|0.004334691446274519|1.72804830071982e-05|0.3552960157394409|0.13491447269916534|4.8791171138873324e-05|0.08284197747707367|2.896982431411743|1.484787106513977|0.6858893036842346|0.3324779272079468,0.6208708882331848|0.9994588494300842|0.997685432434082|0.572490394115448|0.5939128398895264|0.9333054423332214|0.7252510786056519|0.4069332480430603|0.32801976799964905|0.9916421175003052|0.5346292853355408|0.28202545642852783|0.7474213242530823|0.6781058311462402|0.9989192485809326|0.9999369382858276|0.5317519903182983|0.999625563621521|0.9999991655349731|0.8938586711883545|0.9765758514404297|0.9999971389770508|0.9888823628425598|0.3605354130268097|0.6497294902801514|0.8101920485496521|0.9351103901863098
